"Model","Scenario","Region","Variable","Unit","2000","2005","2010","2020","2030","2040","2050","2060","2070","2080","2090","2100"
"MESSAGEix-GLOBIOM 1.0","CD-LINKS_INDCi","World","Carbon Sequestration|CCS","Mt CO2/yr",0,0,0,0,419.633653,541.2077539,475.9366256,426.7381844,297.9858597,156.5736389,208.9453116,413.9036166
"MESSAGEix-GLOBIOM 1.0","CD-LINKS_INDCi","World","Emissions|CO2","Mt CO2/yr",31667.90819,35933.0697,38542.01816,39615.22255,40671.28065,44642.91669,49784.94281,54100.57532,58755.17001,66549.84152,74871.55532,82357.30988
"MESSAGEix-GLOBIOM 1.0","CD-LINKS_INDCi","World","Final Energy|Residential and Commercial","EJ/yr",108.5322114,119.5521634,131.2806543,142.8104122,157.9223957,179.2662704,201.9476927,227.4210035,256.7835312,287.6898964,322.0009406,357.9738141
"MESSAGEix-GLOBIOM 1.0","CD-LINKS_NPi","World","Carbon Sequestration|CCS","Mt CO2/yr",0,0,0,0,0,0,0,0,0,0,0,0
"MESSAGEix-GLOBIOM 1.0","CD-LINKS_NPi","World","Emissions|CO2","Mt CO2/yr",31667.90819,35933.0697,38542.01816,39615.22255,44490.08064,48326.74212,53595.16479,57741.63044,63446.61698,71076.87071,80021.92967,86705.02672
"MESSAGEix-GLOBIOM 1.0","CD-LINKS_NPi","World","Final Energy|Residential and Commercial","EJ/yr",108.5322114,119.5521634,131.2806543,142.8104122,160.4558879,180.7637935,203.1155528,228.4518242,258.0887522,289.1289993,323.304603,359.2612417
"MESSAGEix-GLOBIOM 1.0","CD-LINKS_NPi2020_1000","World","Carbon Sequestration|CCS","Mt CO2/yr",0,0,0,0,1884.760653,6850.222652,14658.0082,21424.24673,25525.65395,25322.9799,22004.29475,18836.46791
"MESSAGEix-GLOBIOM 1.0","CD-LINKS_NPi2020_1000","World","Emissions|CO2","Mt CO2/yr",31667.90819,35933.0697,38542.01816,39615.22255,32672.15942,23754.91708,12753.84243,2666.29196,-3524.55553,-8356.86531,-12605.78954,-14648.69253
"MESSAGEix-GLOBIOM 1.0","CD-LINKS_NPi2020_1000","World","Final Energy|Residential and Commercial","EJ/yr",108.5322114,119.5521634,131.2806543,142.8104122,155.0451038,170.3619592,186.857316,199.5106008,220.2125804,240.15292,261.8761381,287.4845526
"MESSAGEix-GLOBIOM 1.0","CD-LINKS_NPi2020_1600","World","Carbon Sequestration|CCS","Mt CO2/yr",0,0,0,0,679.6809013,3289.20638,8136.256542,16681.72153,24296.00096,28058.93628,28996.68236,26531.48672
